,30d_slope,60d_slope,90d_slope
NVDA,0.004557279442706278,-0.0018166414051280343,0.002924110021470847
TSLA,-0.0005676165694817257,0.001588176210420333,0.003198738051404526
AAPL,0.002068882840919585,0.0010530114821043822,0.0029694238816053292
AMD,0.0032964960346142927,-0.002872631485302766,-0.0013441598775991558
MSFT,-0.00022479298933933317,-0.0019391302439521502,6.767167634150515e-05
META,0.004681356465155717,0.00048819274978367675,0.001401081428459529
AMZN,-0.000527239677748703,-0.002169570963114948,-0.0007301557309036478
SMCI,-0.013635347751104988,-0.01131089271285569,-0.005893980822909618
AVGO,0.003692047539758662,-0.0009844425823410086,0.0022849692187526783
GOOGL,-0.0015445933161365416,-0.00254500492084754,-0.000576442589707694
GOOG,-0.0015570511917103276,-0.002493985677962307,-0.0005627520425997062
LLY,0.007682353430812881,0.0006738219933928784,0.002187920019094549
MU,-0.002616385472078285,-0.008428332548729303,-0.003332083012291953
TSM,0.002857585587122726,-0.0011271915296673148,0.0018207681928501902
NFLX,0.0047535346043573595,6.278523364790468e-05,0.0012542938160445933
COIN,-0.007891911412335246,-0.004673277734362969,-0.0016271208516187377
MSTR,-0.0075606196221408815,-0.0019238035212812174,0.00020114839667190524
UNH,0.0017819713378642958,0.004108587407421957,0.0023646653620342174
V,0.002513252723858647,-0.00020051802129376605,-0.00042944484884803696
XOM,0.00028521484166022166,0.001112651631089775,0.0002226196638983398
INTC,-0.014421492923745642,-0.010112346889524436,-0.005021889633689495
CRM,0.0008463531304890335,0.0012599557967907244,-0.0006894797223716674
JPM,0.0027761535250331007,0.001935306895853487,0.001418968108400071
ADBE,0.0029939252573864586,0.0015734058879360302,0.0023829631926158778
CRWD,0.005149533875988529,-0.009715807078608361,-0.00369704335987286
QCOM,-0.00026410594634083647,-0.005227549221068578,-0.0016031172386354875
ARM,-0.002103945633368212,-0.006068178436083568,0.0022530167061561024
COST,0.003927481445447915,0.000456402678540435,0.001593094841156525
BA,-0.002518947244425731,-0.001411148924378386,-0.00047237096130261423
BAC,-0.00014320362774130046,-0.00036149773332154955,0.0006140261917438594
PANW,0.005236671087232857,0.0013441815159955996,0.0017950930748152993
PLTR,0.00793676268521274,0.004779950912469237,0.004829102037282249
UBER,0.0063123336366813325,5.986274653416563e-05,0.0006440166348439167
DELL,0.0018975026312364773,-0.006305607824875074,-0.003627552412824889
BABA,0.002999659128373577,0.002044312024737763,0.00043261672267203157
PDD,-0.009576245946426296,-0.00430358951559383,-0.002113591849592601
AMAT,-0.0007582929793196968,-0.004736659128537536,-0.0009961660044467498
HD,0.001832934491091306,0.0013423526097148908,0.001251580591266231
MARA,-0.006947814869299348,-0.004644892553569281,-0.0014595126681066072
CVX,-0.0019841909548059065,-0.001349001567636857,-0.0011439407409688258
DIS,-0.00018708736246152887,-0.0027667433118608612,-0.002594921644284593
ASML,0.0009430095250879005,-0.0040991853813697144,-0.0007992465759152448
JNJ,0.0016703548927463746,0.002551863216662976,0.0013972406977131755
MA,0.0032711187162939603,0.0011782492043898066,0.00040982646310664485
WMT,0.004946225353672674,0.002039772856367769,0.0024620744800910948
PFE,-0.0023989059758730558,0.0012128215147282643,0.0009775074098564887
PG,0.0011965792943393818,0.0006373939531311434,0.0004768103476029326
MRK,-0.0011563757615613438,-0.002703716699752788,-0.001579676356694313
SNOW,-0.0036756390573209224,-0.0023211203510531656,-0.003634587641847163
SBUX,0.011619521604739258,0.0034687042477461864,0.0016370631029784075
TXN,0.0029485622496993806,0.0008597420736966044,0.0011719660602114484
NKE,0.006526008954433524,-0.002111076511809397,-0.002737362030497934
